Source,Target,Weight,Color
15856,4258,1.1198824579849829,#d3dbe7
15856,15857,0.9384696883676453,#bcd2f7
117,4255,1.2083069623536629,#dddcdc
117,1198,1.2710047257856962,#e4d9d2
4255,125,1.1095110522299323,#d2dbe8
4255,1197,-2.0,#3b4cc0
4255,4254,1.298307137328508,#e6d7cf
1198,15857,1.3297841990642318,#ead5c9
1198,1239,0.8245163280072091,#adc9fd
118,119,1.1928461151888416,#dbdcde
118,4256,1.4485362781046576,#f2cbb7
118,1197,1.4160077404492888,#f0cdbb
119,120,1.279461609257673,#e4d9d2
119,1240,1.3337293231565988,#ead5c9
4256,4257,1.4821443856374106,#f3c7b1
4256,118,1.479819954752671,#f3c7b1
4256,4239,1.1426397078324166,#d6dce4
1197,117,1.1256764103823331,#d4dbe6
1197,4255,0.9647780220223761,#c0d4f5
1197,118,1.3778888057925749,#edd1c2
120,4259,1.2560679826882792,#e2dad5
120,4206,1.154210882206974,#d7dce3
1240,4256,1.1896306576921556,#dbdcde
1240,1241,1.3944341685988746,#efcfbf
4259,1240,1.279279007906624,#e4d9d2
4259,34889,1.1587543866322882,#d8dce2
4206,4207,1.4186658130534755,#f0cdbb
4206,15866,1.277815426570865,#e4d9d2
122,123,1.303131232510763,#e7d7ce
122,15418,1.5275912379205672,#f5c1a9
123,14,1.160408500089582,#d8dce2
15418,15414,0.7514330818193474,#a2c1ff
15418,15417,0.9174529919296635,#bad0f8
124,7180,0.9771289005806822,#c1d4f4
124,7160,1.0932465311038402,#d1dae9
7180,7197,1.2377698743010186,#e0dbd8
7180,7178,1.0920887392558067,#d1dae9
7160,7166,0.9418094730088382,#bed2f6
7160,124,1.0169498130975607,#c7d7f0
7160,7141,1.621093155258961,#f7b599
125,126,1.4042519881169053,#efcebd
125,4238,1.298307137328508,#e6d7cf
126,127,1.2656666994524828,#e3d9d3
126,4208,1.161966616364075,#d8dce2
4238,125,1.344804755754967,#ead4c8
4238,130,1.2418700886856189,#e0dbd8
4238,4254,1.3062963286367502,#e7d7ce
4238,4208,1.4238027248025804,#f1cdba
127,128,1.2893436451186346,#e5d8d1
127,132,1.3603851143046364,#ecd3c5
4208,4265,1.3016375827268716,#e7d7ce
4208,4238,1.3934172492827934,#efcfbf
4208,15887,1.0540765572905104,#cbd8ee
128,129,1.1506643535295609,#d7dce3
128,4274,1.2106127663528978,#dddcdc
132,29228,0.85101360682367,#b1cbfc
132,4266,1.196314385353599,#dcdddd
129,29227,1.0935617575652887,#d1dae9
129,133,1.3562936214481653,#ecd3c5
4274,35691,0.909020854211156,#b9d0f9
4274,4168,1.2103987886522443,#dddcdc
4274,128,1.3795230638305542,#edd1c2
